,experiment_name,datasplit_type,datasplit_size,datasplit_root_dir,batch_size,num_epochs,patience,data_augmentation,trunk,embedder,loss,sampler,optimizer_trunk,optimizer_trunk_lr,optimizer_trunk_weight_decay,optimizer_embedder,optimizer_embedder_lr,optimizer_embedder_weight_decay,miner,train_precision_at_1_level0,train_precision_at_3_level0,train_precision_at_5_level0,train_precision_at_10_level0,val_precision_at_1_level0,val_precision_at_3_level0,val_precision_at_5_level0,val_precision_at_10_level0,test_precision_at_1_level0,test_precision_at_3_level0,test_precision_at_5_level0,test_precision_at_10_level0
0,experiment_arcfaceloss_convnext_large_provided_bearid,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,200,25,"{'colorjitter': {'hue': [-0.1, 0.1], 'saturation': [0.9, 1.1]}, 'rotation': {'degrees': [-10, 10]}}",convnext_large,1024,arcfaceloss,mperclass,adam,0.0001,0.0,adam,0.001,0.0,batcheasyhardminer,0.9968364441632396,0.995897759545598,0.996213316503629,0.996213316503629,0.9547101449275364,0.960644007155635,0.9695885509838998,0.9713774597495528,0.8899782135076254,0.9011815252416756,0.9172932330827068,0.9377013963480128
0,hyperparameter_search_by_individual,by_individual,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9932409597837106,0.9952686718485976,0.9966204798918552,0.9969584319026698,,,,,0.9487028301886792,0.9688967136150236,0.9741784037558686,0.982981220657277
0,experiment_circleloss_convnext_tiny_individual,by_individual,full,data/04_feature/bearidentification/bearid/split,32,100,25,"{'colorjitter': {'hue': [-0.1, 0.1], 'saturation': [0.9, 1.1]}, 'rotation': {'degrees': [-10, 10]}}",convnext_tiny,1024,circleloss,mperclass,adam,0.0001,1e-05,adam,0.001,1e-05,batcheasyhardminer,0.9692463670158836,0.9871578235890502,0.9901993916863804,0.994254815816154,,,,,0.8195754716981132,0.8990610328638498,0.9242957746478874,0.955399061032864
0,experiment_circleloss_resnet18_embedding_size_1024_individual,by_individual,full,data/04_feature/bearidentification/bearid/split,32,100,25,"{'colorjitter': {'hue': [-0.1, 0.1], 'saturation': [0.9, 1.1]}, 'rotation': {'degrees': [-10, 10]}}",resnet18,1024,circleloss,mperclass,adam,0.0001,0.0,adam,0.001,0.0,batcheasyhardminer,0.7448462318350794,0.8556944913822236,0.8932071645826292,0.9324095978371072,,,,,0.6786556603773585,0.812793427230047,0.8679577464788732,0.9154929577464788
0,hyperparameter_search,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9987345776652956,0.9974755443357528,0.9974755443357528,0.9974755443357528,0.9583333333333334,0.9516994633273704,0.9570661896243292,0.9677996422182468,0.9063180827886712,0.9258861439312568,0.9344790547798066,0.9527389903329752
0,experiment_arcfaceloss_convnext_tiny_provided_bearid,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,100,25,"{'colorjitter': {'hue': [-0.1, 0.1], 'saturation': [0.9, 1.1]}, 'rotation': {'degrees': [-10, 10]}}",convnext_tiny,1024,arcfaceloss,mperclass,adam,0.0001,0.0,adam,0.001,0.0,batcheasyhardminer,0.9981018664979436,0.9968444304196908,0.9968444304196908,0.9968444304196908,0.9528985507246376,0.9499105545617174,0.9499105545617174,0.9570661896243292,0.8867102396514162,0.9044038668098818,0.9172932330827068,0.9366272824919442
0,hyperparameter_search_by_individual,by_individual,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9868198715782358,0.9925650557620818,0.9945927678269684,0.9959445758702264,,,,,0.9439858490566038,0.9688967136150236,0.9741784037558686,0.982981220657277
0,hyperparameter_search,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9965200885795634,0.995897759545598,0.996213316503629,0.99652887346166,0.9619565217391304,0.964221824686941,0.9695885509838998,0.9731663685152058,0.917211328976035,0.9387755102040816,0.9516648764769066,0.9656283566058002
0,hyperparameter_search,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9987345776652956,0.9974755443357528,0.9974755443357528,0.9974755443357528,0.9565217391304348,0.9570661896243292,0.962432915921288,0.9677996422182468,0.8943355119825709,0.907626208378088,0.9183673469387756,0.9409237379162192
0,hyperparameter_search,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9987345776652956,0.9968444304196908,0.9968444304196908,0.9968444304196908,0.9619565217391304,0.9677996422182468,0.9695885509838998,0.9731663685152058,0.9063180827886712,0.9280343716433942,0.9419978517722878,0.953813104189044
